what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214264004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345214271195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214275969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214276234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214276374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214276499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214276640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214276780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345214277591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345214400005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345214438942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345214483075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345214496834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345214513557
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345214519158
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1345214519220
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214522402
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345214526022
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214528330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345214533042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345214535070
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345214537441
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1345214537472
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214540405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345214551216
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345214553119
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1345214553181
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214555942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345214564335
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345214566519
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1345214566550
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214581495
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345214647125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345215250705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225626357
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345225655153
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345225655215
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345225655231
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1345225657243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225660192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225670520
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345225677244
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345225677291
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1345225682736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1345225682938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345225684124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1345225686963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345225690208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1345225740487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345225742328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225746649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345225794185
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225797118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225808256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225810659
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1345225814574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225820081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225881155
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1345225881155
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345225884291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225887957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225892262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225894259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225896599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225903229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225925787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225935303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225940014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345225945880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345225949000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226087283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226088125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226089623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226090059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226091448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226092615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226294543
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345226296321
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345226298505
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345226298536
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1345226298552
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345226299581
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1345226301391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226302904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226317724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226320783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226410514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226411856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226414336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1345226416038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226417988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226419189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226422684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226426147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226429361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226429923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1345226429923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226431217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226433682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1345226434899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226436802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226446053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226447302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226699539
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345226699570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226703283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226704437
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1345226705170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226706418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226732642
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345226735373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345226743922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345227025799
